description,category
The clerk at the taluk office threatened a citizen for filing a complaint against the Water Supply Board.,Official Misconduct
Funds allocated for a public project at the central branch were diverted by officials in the Housing Board for personal use.,Corruption
This report concerns a procedural question about the Land Records Office rather than a specific violation.,Other
I want to report general dissatisfaction with the way the Municipal Corporation handled my visit to the northern zone office.,Other
"The Education Department awarded a tender to a shell company linked to a supervisor, with kickbacks reported at Block A.",Corruption
The engineer abused their authority by forcing subordinates at the rural health center to falsify inspection reports.,Official Misconduct
Drinking water supplied by the Public Works Department near the regional headquarters has tested positive for contamination for months.,Unsafe Public Service
The Police Department has failed to publish its annual budget or spending records for Block A as legally required.,Governance Issue
The public bus operated by the Electricity Board at the rural health center has faulty brakes and has not been inspected in years.,Unsafe Public Service
Drinking water supplied by the Municipal Corporation near the rural health center has tested positive for contamination for months.,Unsafe Public Service
An audit revealed the Municipal Corporation inflated contractor bills at Block A to siphon off public money.,Corruption
"The commissioner at the Education Department demanded Rs. 25,000 in cash before approving my business license.",Bribery
The council member at the Land Records Office has not held a single accountability meeting with residents of the northern zone office in over a year.,Governance Issue
The school building managed by the Municipal Corporation at the district office has a collapsing roof that puts children at risk.,Unsafe Public Service
Records requested under the Right to Information Act from the Customs Department at the rural health center were never provided.,Governance Issue
"I was asked to pay a bribe of Rs. 50,000 to the officer to speed up my tender document application at the regional headquarters.",Bribery
The manager at the Income Tax Office misused their position to favor a relative during business license approval at Block A.,Official Misconduct
"Ghost employees were found on the payroll of the Income Tax Office at the municipal complex, with salaries pocketed by a engineer.",Corruption
The engineer at the Water Supply Board misused their position to favor a relative during pension file approval at the regional headquarters.,Official Misconduct
"Construction at the municipal complex overseen by the Income Tax Office ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
The school building managed by the Customs Department at the regional headquarters has a collapsing roof that puts children at risk.,Unsafe Public Service
This is a suggestion for improving queue management at the Health Department office in the central branch.,Other
Records requested under the Right to Information Act from the Revenue Department at Ward 5 were never provided.,Governance Issue
"Ghost employees were found on the payroll of the Health Department at the central branch, with salaries pocketed by a administrator.",Corruption
The engineer at the municipal complex threatened a citizen for filing a complaint against the Sanitation Department.,Official Misconduct
"To get my birth certificate cleared at the Health Department, the officer openly asked for a 'facilitation fee' of Rs. 500.",Bribery
Filing this report to flag a minor administrative error in my ration card at the Electricity Board.,Other
The commissioner at the Customs Department misused their position to favor a relative during building permit approval at Sector 12.,Official Misconduct
"I was asked to pay a bribe of Rs. 2,000 to the sub-registrar to speed up my driving license application at Sector 12.",Bribery
Evidence shows the administrator deliberately delayed processing a passport application to harass the applicant at the northern zone office.,Official Misconduct
"A inspector in the Housing Board refused to process my file unless I paid Rs. 5,000 under the table.",Bribery
"The sub-registrar at the Rural Development Office demanded Rs. 2,000 in cash before approving my tender document.",Bribery
"The Public Works Department awarded a tender to a shell company linked to a sub-registrar, with kickbacks reported at the northern zone office.",Corruption
This report concerns a procedural question about the Municipal Corporation rather than a specific violation.,Other
"The clerk at Ward 5 hinted that my birth certificate would be stuck for months unless I gave him Rs. 2,000.",Bribery
"Construction at Ward 5 overseen by the Police Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
I want to report general dissatisfaction with the way the Sanitation Department handled my visit to the northern zone office.,Other
An audit revealed the Health Department inflated contractor bills at the rural health center to siphon off public money.,Corruption
"The contractor at Ward 5 hinted that my property registration would be stuck for months unless I gave him Rs. 10,000.",Bribery
A manager in the Education Department was found altering official records related to a birth certificate without authorization.,Official Misconduct
"Ghost employees were found on the payroll of the Land Records Office at the taluk office, with salaries pocketed by a clerk.",Corruption
A contractor in the Revenue Department was found altering official records related to a land title without authorization.,Official Misconduct
"The constable at the Housing Board demanded Rs. 25,000 in cash before approving my birth certificate.",Bribery
This report concerns a procedural question about the Water Supply Board rather than a specific violation.,Other
"Construction at Block A overseen by the Health Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
Funds allocated for a public project at the central branch were diverted by officials in the Municipal Corporation for personal use.,Corruption
"A clerk in the Municipal Corporation refused to process my file unless I paid Rs. 1,00,000 under the table.",Bribery
"Ghost employees were found on the payroll of the Water Supply Board at the northern zone office, with salaries pocketed by a commissioner.",Corruption
The Sanitation Department repeatedly misses statutory deadlines for property registration processing across the regional headquarters with no explanation.,Governance Issue
Materials meant for a government scheme in the municipal complex were sold off by a council member in the Education Department for personal profit.,Corruption
The public bus operated by the Rural Development Office at the regional headquarters has faulty brakes and has not been inspected in years.,Unsafe Public Service
I want to report general dissatisfaction with the way the Public Works Department handled my visit to the district office.,Other
"The inspector at the Sanitation Department demanded Rs. 2,000 in cash before approving my business license.",Bribery
"I was asked to pay a bribe of Rs. 5,000 to the officer to speed up my driving license application at Sector 12.",Bribery
"Patients at the government hospital in Block A are being treated in unsanitary, overcrowded wards run by the Police Department.",Unsafe Public Service
The Sanitation Department has failed to publish its annual budget or spending records for the rural health center as legally required.,Governance Issue
The school building managed by the Income Tax Office at Ward 5 has a collapsing roof that puts children at risk.,Unsafe Public Service
I want to report general dissatisfaction with the way the Income Tax Office handled my visit to Sector 12.,Other
"The Public Works Department awarded a tender to a shell company linked to a supervisor, with kickbacks reported at Ward 5.",Corruption
Drinking water supplied by the Transport Department near Block A has tested positive for contamination for months.,Unsafe Public Service
"The director at the Water Supply Board demanded Rs. 25,000 in cash before approving my tender document.",Bribery
The clerk abused their authority by forcing subordinates at Block A to falsify inspection reports.,Official Misconduct
This is a suggestion for improving queue management at the Customs Department office in the rural health center.,Other
Drinking water supplied by the Police Department near the central branch has tested positive for contamination for months.,Unsafe Public Service
"To get my business license cleared at the Rural Development Office, the administrator openly asked for a 'facilitation fee' of Rs. 50,000.",Bribery
The director abused their authority by forcing subordinates at the taluk office to falsify inspection reports.,Official Misconduct
The commissioner at the Water Supply Board misused their position to favor a relative during driving license approval at the central branch.,Official Misconduct
The school building managed by the Public Works Department at the municipal complex has a collapsing roof that puts children at risk.,Unsafe Public Service
A inspector in the Revenue Department was found altering official records related to a ration card without authorization.,Official Misconduct
"The administrator at the central branch hinted that my land title would be stuck for months unless I gave him Rs. 25,000.",Bribery
Evidence shows the administrator deliberately delayed processing a ration card to harass the applicant at the district office.,Official Misconduct
"To get my property registration cleared at the Police Department, the council member openly asked for a 'facilitation fee' of Rs. 500.",Bribery
Relief funds meant for flood victims near the district office were misappropriated by staff in the Water Supply Board.,Corruption
The Municipal Corporation has failed to publish its annual budget or spending records for the rural health center as legally required.,Governance Issue
There is no functioning grievance redress system at the Police Department office in the rural health center.,Governance Issue
The Water Supply Board repeatedly misses statutory deadlines for driving license processing across Sector 12 with no explanation.,Governance Issue
Funds allocated for a public project at the northern zone office were diverted by officials in the Police Department for personal use.,Corruption
"The Health Department awarded a tender to a shell company linked to a commissioner, with kickbacks reported at the taluk office.",Corruption
Relief funds meant for flood victims near the district office were misappropriated by staff in the Rural Development Office.,Corruption
Relief funds meant for flood victims near the regional headquarters were misappropriated by staff in the Revenue Department.,Corruption
Decisions at the Customs Department regarding the municipal complex are made without any public consultation or transparency.,Governance Issue
"A inspector in the Electricity Board refused to process my file unless I paid Rs. 2,000 under the table.",Bribery
The manager at the Land Records Office has not held a single accountability meeting with residents of the taluk office in over a year.,Governance Issue
The Land Records Office has failed to publish its annual budget or spending records for the regional headquarters as legally required.,Governance Issue
"I would like to commend a clerk at the rural health center for helpful service, but also note a small issue with wait times.",Other
"I would like to commend a commissioner at Block A for helpful service, but also note a small issue with wait times.",Other
Filing this report to flag a minor administrative error in my building permit at the Education Department.,Other
The school building managed by the Electricity Board at the regional headquarters has a collapsing roof that puts children at risk.,Unsafe Public Service
This is a suggestion for improving queue management at the Education Department office in the district office.,Other
"I would like to commend a constable at the central branch for helpful service, but also note a small issue with wait times.",Other
The clerk abused their authority by forcing subordinates at the regional headquarters to falsify inspection reports.,Official Misconduct
"Patients at the government hospital in the rural health center are being treated in unsanitary, overcrowded wards run by the Police Department.",Unsafe Public Service
"Patients at the government hospital in Block A are being treated in unsanitary, overcrowded wards run by the Water Supply Board.",Unsafe Public Service
This is a suggestion for improving queue management at the Income Tax Office office in Block A.,Other
"To get my birth certificate cleared at the Land Records Office, the inspector openly asked for a 'facilitation fee' of Rs. 25,000.",Bribery
This is a suggestion for improving queue management at the Customs Department office in the municipal complex.,Other
"The engineer at Block A hinted that my ration card would be stuck for months unless I gave him Rs. 2,000.",Bribery
This is a suggestion for improving queue management at the Police Department office in the rural health center.,Other
Filing this report to flag a minor administrative error in my driving license at the Public Works Department.,Other
Evidence shows the engineer deliberately delayed processing a tender document to harass the applicant at the taluk office.,Official Misconduct
A commissioner at the Revenue Department was seen accepting gifts from a contractor in exchange for favorable treatment at the municipal complex.,Official Misconduct
I want to report general dissatisfaction with the way the Public Works Department handled my visit to the municipal complex.,Other
This report concerns a procedural question about the Public Works Department rather than a specific violation.,Other
The engineer at the Revenue Department misused their position to favor a relative during property registration approval at the taluk office.,Official Misconduct
An audit revealed the Electricity Board inflated contractor bills at Block A to siphon off public money.,Corruption
The engineer at the Rural Development Office misused their position to favor a relative during ration card approval at the regional headquarters.,Official Misconduct
The engineer at the Municipal Corporation has not held a single accountability meeting with residents of the regional headquarters in over a year.,Governance Issue
The public bus operated by the Electricity Board at Sector 12 has faulty brakes and has not been inspected in years.,Unsafe Public Service
A council member at the Revenue Department was seen accepting gifts from a contractor in exchange for favorable treatment at the municipal complex.,Official Misconduct
The manager at the central branch threatened a citizen for filing a complaint against the Public Works Department.,Official Misconduct
The administrator at Sector 12 threatened a citizen for filing a complaint against the Health Department.,Official Misconduct
"The manager took Rs. 10,000 from me and only then stamped my birth certificate at the Health Department.",Bribery
The school building managed by the Health Department at Ward 5 has a collapsing roof that puts children at risk.,Unsafe Public Service
The school building managed by the Customs Department at Block A has a collapsing roof that puts children at risk.,Unsafe Public Service
Funds allocated for a public project at the central branch were diverted by officials in the Customs Department for personal use.,Corruption
"The surveyor took Rs. 25,000 from me and only then stamped my property registration at the Income Tax Office.",Bribery
The school building managed by the Health Department at the taluk office has a collapsing roof that puts children at risk.,Unsafe Public Service
"I would like to commend a supervisor at the municipal complex for helpful service, but also note a small issue with wait times.",Other
Drinking water supplied by the Education Department near Block A has tested positive for contamination for months.,Unsafe Public Service
I want to report general dissatisfaction with the way the Water Supply Board handled my visit to the central branch.,Other
"The supervisor took Rs. 10,000 from me and only then stamped my pension file at the Education Department.",Bribery
The Public Works Department repeatedly misses statutory deadlines for driving license processing across the taluk office with no explanation.,Governance Issue
An audit revealed the Sanitation Department inflated contractor bills at the rural health center to siphon off public money.,Corruption
"The Public Works Department awarded a tender to a shell company linked to a contractor, with kickbacks reported at Block A.",Corruption
"The Revenue Department awarded a tender to a shell company linked to a supervisor, with kickbacks reported at the rural health center.",Corruption
An audit revealed the Revenue Department inflated contractor bills at Ward 5 to siphon off public money.,Corruption
This report concerns a procedural question about the Health Department rather than a specific violation.,Other
The council member at Ward 5 threatened a citizen for filing a complaint against the Transport Department.,Official Misconduct
Drinking water supplied by the Revenue Department near the municipal complex has tested positive for contamination for months.,Unsafe Public Service
"A director in the Police Department refused to process my file unless I paid Rs. 50,000 under the table.",Bribery
I want to report general dissatisfaction with the way the Water Supply Board handled my visit to the northern zone office.,Other
"A supervisor in the Land Records Office refused to process my file unless I paid Rs. 2,000 under the table.",Bribery
A officer at the Water Supply Board was seen accepting gifts from a contractor in exchange for favorable treatment at Ward 5.,Official Misconduct
"Ghost employees were found on the payroll of the Health Department at Block A, with salaries pocketed by a tehsildar.",Corruption
Evidence shows the constable deliberately delayed processing a ration card to harass the applicant at the regional headquarters.,Official Misconduct
I am unsure which department is responsible for an issue I noticed near the central branch.,Other
This is a suggestion for improving queue management at the Education Department office in the central branch.,Other
"Construction at the municipal complex overseen by the Education Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"The Public Works Department facility at the rural health center has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
The public bus operated by the Public Works Department at the rural health center has faulty brakes and has not been inspected in years.,Unsafe Public Service
Filing this report to flag a minor administrative error in my ration card at the Health Department.,Other
Records requested under the Right to Information Act from the Police Department at the central branch were never provided.,Governance Issue
Drinking water supplied by the Education Department near the regional headquarters has tested positive for contamination for months.,Unsafe Public Service
"I would like to commend a inspector at the rural health center for helpful service, but also note a small issue with wait times.",Other
"The Housing Board facility at the rural health center has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
There is no functioning grievance redress system at the Customs Department office in the district office.,Governance Issue
"To get my tender document cleared at the Municipal Corporation, the commissioner openly asked for a 'facilitation fee' of Rs. 25,000.",Bribery
"To get my passport application cleared at the Revenue Department, the supervisor openly asked for a 'facilitation fee' of Rs. 50,000.",Bribery
Records requested under the Right to Information Act from the Electricity Board at Block A were never provided.,Governance Issue
I want to report general dissatisfaction with the way the Police Department handled my visit to the taluk office.,Other
The director at the Municipal Corporation has not held a single accountability meeting with residents of the central branch in over a year.,Governance Issue
"Construction at the municipal complex overseen by the Water Supply Board ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
The inspector at the Health Department misused their position to favor a relative during pension file approval at the district office.,Official Misconduct
"The Income Tax Office awarded a tender to a shell company linked to a engineer, with kickbacks reported at the northern zone office.",Corruption
The sub-registrar at the Sanitation Department has not held a single accountability meeting with residents of Block A in over a year.,Governance Issue
"Construction at the regional headquarters overseen by the Electricity Board ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
Records requested under the Right to Information Act from the Housing Board at Sector 12 were never provided.,Governance Issue
I want to report general dissatisfaction with the way the Transport Department handled my visit to the regional headquarters.,Other
Relief funds meant for flood victims near the district office were misappropriated by staff in the Revenue Department.,Corruption
An audit revealed the Police Department inflated contractor bills at the rural health center to siphon off public money.,Corruption
I was asked to pay a bribe of Rs. 500 to the supervisor to speed up my ration card application at the taluk office.,Bribery
The officer at the taluk office threatened a citizen for filing a complaint against the Police Department.,Official Misconduct
I was asked to pay a bribe of Rs. 500 to the engineer to speed up my property registration application at the regional headquarters.,Bribery
A sub-registrar at the Municipal Corporation was seen accepting gifts from a contractor in exchange for favorable treatment at Block A.,Official Misconduct
Funds allocated for a public project at the municipal complex were diverted by officials in the Health Department for personal use.,Corruption
An audit revealed the Housing Board inflated contractor bills at Ward 5 to siphon off public money.,Corruption
Evidence shows the manager deliberately delayed processing a ration card to harass the applicant at the northern zone office.,Official Misconduct
The tehsildar at the Electricity Board misused their position to favor a relative during business license approval at the central branch.,Official Misconduct
The council member at Block A threatened a citizen for filing a complaint against the Customs Department.,Official Misconduct
The Customs Department has failed to publish its annual budget or spending records for the northern zone office as legally required.,Governance Issue
This is a suggestion for improving queue management at the Land Records Office office in the district office.,Other
Filing this report to flag a minor administrative error in my birth certificate at the Income Tax Office.,Other
"Construction at the regional headquarters overseen by the Revenue Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
The contractor at the Municipal Corporation has not held a single accountability meeting with residents of the taluk office in over a year.,Governance Issue
This is a suggestion for improving queue management at the Rural Development Office office in the taluk office.,Other
The contractor at the taluk office threatened a citizen for filing a complaint against the Electricity Board.,Official Misconduct
"To get my tender document cleared at the Land Records Office, the clerk openly asked for a 'facilitation fee' of Rs. 2,000.",Bribery
"I was asked to pay a bribe of Rs. 2,000 to the tehsildar to speed up my passport application application at Block A.",Bribery
The commissioner at the district office threatened a citizen for filing a complaint against the Income Tax Office.,Official Misconduct
Records requested under the Right to Information Act from the Sanitation Department at the regional headquarters were never provided.,Governance Issue
The director abused their authority by forcing subordinates at the municipal complex to falsify inspection reports.,Official Misconduct
The school building managed by the Education Department at the municipal complex has a collapsing roof that puts children at risk.,Unsafe Public Service
The commissioner at the Public Works Department misused their position to favor a relative during passport application approval at Ward 5.,Official Misconduct
The contractor at the Customs Department misused their position to favor a relative during land title approval at the taluk office.,Official Misconduct
Filing this report to flag a minor administrative error in my driving license at the Education Department.,Other
Materials meant for a government scheme in Ward 5 were sold off by a inspector in the Electricity Board for personal profit.,Corruption
"The surveyor at the rural health center hinted that my land title would be stuck for months unless I gave him Rs. 10,000.",Bribery
Filing this report to flag a minor administrative error in my land title at the Police Department.,Other
"The Municipal Corporation awarded a tender to a shell company linked to a council member, with kickbacks reported at the rural health center.",Corruption
A manager in the Municipal Corporation was found altering official records related to a driving license without authorization.,Official Misconduct
The school building managed by the Education Department at the rural health center has a collapsing roof that puts children at risk.,Unsafe Public Service
I want to report general dissatisfaction with the way the Health Department handled my visit to the taluk office.,Other
A surveyor at the Public Works Department was seen accepting gifts from a contractor in exchange for favorable treatment at Sector 12.,Official Misconduct
A officer at the Customs Department was seen accepting gifts from a contractor in exchange for favorable treatment at Sector 12.,Official Misconduct
The inspector at the Sanitation Department misused their position to favor a relative during land title approval at the northern zone office.,Official Misconduct
"Ghost employees were found on the payroll of the Sanitation Department at the rural health center, with salaries pocketed by a constable.",Corruption
The tehsildar at the Income Tax Office demanded Rs. 500 in cash before approving my passport application.,Bribery
The Revenue Department repeatedly misses statutory deadlines for pension file processing across the rural health center with no explanation.,Governance Issue
Materials meant for a government scheme in Sector 12 were sold off by a council member in the Public Works Department for personal profit.,Corruption
The Public Works Department has failed to publish its annual budget or spending records for the regional headquarters as legally required.,Governance Issue
"The engineer at the Transport Department demanded Rs. 1,00,000 in cash before approving my driving license.",Bribery
There is no functioning grievance redress system at the Health Department office in the district office.,Governance Issue
The school building managed by the Education Department at the district office has a collapsing roof that puts children at risk.,Unsafe Public Service
Records requested under the Right to Information Act from the Land Records Office at the regional headquarters were never provided.,Governance Issue
An audit revealed the Income Tax Office inflated contractor bills at the municipal complex to siphon off public money.,Corruption
An audit revealed the Health Department inflated contractor bills at Block A to siphon off public money.,Corruption
Relief funds meant for flood victims near Sector 12 were misappropriated by staff in the Public Works Department.,Corruption
"The Sanitation Department awarded a tender to a shell company linked to a engineer, with kickbacks reported at the rural health center.",Corruption
An audit revealed the Revenue Department inflated contractor bills at the taluk office to siphon off public money.,Corruption
There is no functioning grievance redress system at the Revenue Department office in the taluk office.,Governance Issue
"The Transport Department facility at the district office has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
"To get my tender document cleared at the Sanitation Department, the inspector openly asked for a 'facilitation fee' of Rs. 1,00,000.",Bribery
The commissioner at the Water Supply Board misused their position to favor a relative during building permit approval at Sector 12.,Official Misconduct
"To get my passport application cleared at the Customs Department, the administrator openly asked for a 'facilitation fee' of Rs. 5,000.",Bribery
"I would like to commend a sub-registrar at the taluk office for helpful service, but also note a small issue with wait times.",Other
An audit revealed the Public Works Department inflated contractor bills at the municipal complex to siphon off public money.,Corruption
Filing this report to flag a minor administrative error in my driving license at the Transport Department.,Other
The sub-registrar at the rural health center threatened a citizen for filing a complaint against the Transport Department.,Official Misconduct
There is no functioning grievance redress system at the Housing Board office in the regional headquarters.,Governance Issue
"Ghost employees were found on the payroll of the Health Department at Ward 5, with salaries pocketed by a clerk.",Corruption
I am unsure which department is responsible for an issue I noticed near the northern zone office.,Other
I want to report general dissatisfaction with the way the Rural Development Office handled my visit to Sector 12.,Other
The Municipal Corporation repeatedly misses statutory deadlines for pension file processing across the northern zone office with no explanation.,Governance Issue
A council member at the Police Department was seen accepting gifts from a contractor in exchange for favorable treatment at the regional headquarters.,Official Misconduct
"A clerk in the Electricity Board refused to process my file unless I paid Rs. 5,000 under the table.",Bribery
An audit revealed the Housing Board inflated contractor bills at the district office to siphon off public money.,Corruption
Filing this report to flag a minor administrative error in my ration card at the Rural Development Office.,Other
The commissioner at the Rural Development Office has not held a single accountability meeting with residents of Block A in over a year.,Governance Issue
"The Transport Department facility at the central branch has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
Drinking water supplied by the Sanitation Department near Ward 5 has tested positive for contamination for months.,Unsafe Public Service
The administrator at the northern zone office threatened a citizen for filing a complaint against the Health Department.,Official Misconduct
Relief funds meant for flood victims near the municipal complex were misappropriated by staff in the Police Department.,Corruption
The public bus operated by the Customs Department at Sector 12 has faulty brakes and has not been inspected in years.,Unsafe Public Service
The commissioner took Rs. 500 from me and only then stamped my birth certificate at the Transport Department.,Bribery
"Construction at the municipal complex overseen by the Land Records Office ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"The commissioner took Rs. 1,00,000 from me and only then stamped my tender document at the Electricity Board.",Bribery
A clerk in the Land Records Office was found altering official records related to a pension file without authorization.,Official Misconduct
"The commissioner at the Customs Department demanded Rs. 10,000 in cash before approving my ration card.",Bribery
"The Customs Department awarded a tender to a shell company linked to a manager, with kickbacks reported at the district office.",Corruption
"I would like to commend a administrator at Ward 5 for helpful service, but also note a small issue with wait times.",Other
I want to report general dissatisfaction with the way the Sanitation Department handled my visit to the district office.,Other
"To get my land title cleared at the Police Department, the officer openly asked for a 'facilitation fee' of Rs. 1,00,000.",Bribery
The Land Records Office repeatedly misses statutory deadlines for driving license processing across Sector 12 with no explanation.,Governance Issue
Relief funds meant for flood victims near Ward 5 were misappropriated by staff in the Land Records Office.,Corruption
"The Housing Board facility at the municipal complex has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
There is no functioning grievance redress system at the Revenue Department office in the northern zone office.,Governance Issue
The officer at the Public Works Department has not held a single accountability meeting with residents of the northern zone office in over a year.,Governance Issue
"A officer in the Health Department refused to process my file unless I paid Rs. 1,00,000 under the table.",Bribery
Relief funds meant for flood victims near Block A were misappropriated by staff in the Housing Board.,Corruption
Decisions at the Land Records Office regarding the central branch are made without any public consultation or transparency.,Governance Issue
"To get my building permit cleared at the Electricity Board, the contractor openly asked for a 'facilitation fee' of Rs. 2,000.",Bribery
"Patients at the government hospital in the district office are being treated in unsanitary, overcrowded wards run by the Income Tax Office.",Unsafe Public Service
The sub-registrar at the Rural Development Office has not held a single accountability meeting with residents of Ward 5 in over a year.,Governance Issue
The director at the Customs Department has not held a single accountability meeting with residents of the municipal complex in over a year.,Governance Issue
The school building managed by the Health Department at the municipal complex has a collapsing roof that puts children at risk.,Unsafe Public Service
I want to report general dissatisfaction with the way the Municipal Corporation handled my visit to Sector 12.,Other
The public bus operated by the Land Records Office at Ward 5 has faulty brakes and has not been inspected in years.,Unsafe Public Service
"Ghost employees were found on the payroll of the Revenue Department at the central branch, with salaries pocketed by a surveyor.",Corruption
I was asked to pay a bribe of Rs. 500 to the clerk to speed up my tender document application at the municipal complex.,Bribery
"Construction at Block A overseen by the Municipal Corporation ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
I want to report general dissatisfaction with the way the Water Supply Board handled my visit to the district office.,Other
The clerk abused their authority by forcing subordinates at the municipal complex to falsify inspection reports.,Official Misconduct
Drinking water supplied by the Customs Department near the rural health center has tested positive for contamination for months.,Unsafe Public Service
The commissioner at the Customs Department misused their position to favor a relative during property registration approval at Ward 5.,Official Misconduct
Funds allocated for a public project at the regional headquarters were diverted by officials in the Land Records Office for personal use.,Corruption
"Ghost employees were found on the payroll of the Public Works Department at the northern zone office, with salaries pocketed by a tehsildar.",Corruption
"The tehsildar at the regional headquarters hinted that my pension file would be stuck for months unless I gave him Rs. 25,000.",Bribery
The Transport Department has failed to publish its annual budget or spending records for the regional headquarters as legally required.,Governance Issue
The supervisor at the Municipal Corporation misused their position to favor a relative during land title approval at the central branch.,Official Misconduct
The council member at the district office threatened a citizen for filing a complaint against the Public Works Department.,Official Misconduct
The tehsildar at the rural health center threatened a citizen for filing a complaint against the Land Records Office.,Official Misconduct
The surveyor at the Housing Board misused their position to favor a relative during tender document approval at Block A.,Official Misconduct
"To get my property registration cleared at the Health Department, the administrator openly asked for a 'facilitation fee' of Rs. 10,000.",Bribery
"Construction at the rural health center overseen by the Public Works Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"I would like to commend a manager at the taluk office for helpful service, but also note a small issue with wait times.",Other
I want to report general dissatisfaction with the way the Revenue Department handled my visit to Block A.,Other
The commissioner at the rural health center hinted that my building permit would be stuck for months unless I gave him Rs. 500.,Bribery
The constable at the Customs Department misused their position to favor a relative during driving license approval at the rural health center.,Official Misconduct
The clerk at the northern zone office threatened a citizen for filing a complaint against the Police Department.,Official Misconduct
"The Education Department facility at Block A has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
"The contractor at the Land Records Office demanded Rs. 25,000 in cash before approving my birth certificate.",Bribery
"Patients at the government hospital in Sector 12 are being treated in unsanitary, overcrowded wards run by the Land Records Office.",Unsafe Public Service
An audit revealed the Education Department inflated contractor bills at the central branch to siphon off public money.,Corruption
Drinking water supplied by the Land Records Office near Block A has tested positive for contamination for months.,Unsafe Public Service
I want to report general dissatisfaction with the way the Sanitation Department handled my visit to the central branch.,Other
Relief funds meant for flood victims near the regional headquarters were misappropriated by staff in the Rural Development Office.,Corruption
The supervisor at the regional headquarters hinted that my driving license would be stuck for months unless I gave him Rs. 500.,Bribery
I am unsure which department is responsible for an issue I noticed near Sector 12.,Other
I am unsure which department is responsible for an issue I noticed near Block A.,Other
The sub-registrar at the Income Tax Office has not held a single accountability meeting with residents of the municipal complex in over a year.,Governance Issue
"Patients at the government hospital in the regional headquarters are being treated in unsanitary, overcrowded wards run by the Revenue Department.",Unsafe Public Service
The engineer abused their authority by forcing subordinates at the taluk office to falsify inspection reports.,Official Misconduct
"Patients at the government hospital in Block A are being treated in unsanitary, overcrowded wards run by the Income Tax Office.",Unsafe Public Service
This is a suggestion for improving queue management at the Municipal Corporation office in the taluk office.,Other
Filing this report to flag a minor administrative error in my land title at the Health Department.,Other
Evidence shows the inspector deliberately delayed processing a passport application to harass the applicant at the northern zone office.,Official Misconduct
"The supervisor took Rs. 2,000 from me and only then stamped my building permit at the Health Department.",Bribery
The Electricity Board repeatedly misses statutory deadlines for pension file processing across Block A with no explanation.,Governance Issue
"The contractor at the regional headquarters hinted that my ration card would be stuck for months unless I gave him Rs. 1,00,000.",Bribery
The council member took Rs. 500 from me and only then stamped my birth certificate at the Customs Department.,Bribery
Decisions at the Police Department regarding the municipal complex are made without any public consultation or transparency.,Governance Issue
"I would like to commend a constable at the rural health center for helpful service, but also note a small issue with wait times.",Other
The Revenue Department repeatedly misses statutory deadlines for tender document processing across the district office with no explanation.,Governance Issue
"I would like to commend a engineer at the district office for helpful service, but also note a small issue with wait times.",Other
Materials meant for a government scheme in the northern zone office were sold off by a council member in the Customs Department for personal profit.,Corruption
The public bus operated by the Rural Development Office at Sector 12 has faulty brakes and has not been inspected in years.,Unsafe Public Service
A surveyor in the Education Department refused to process my file unless I paid Rs. 500 under the table.,Bribery
Drinking water supplied by the Education Department near the district office has tested positive for contamination for months.,Unsafe Public Service
"I would like to commend a manager at the regional headquarters for helpful service, but also note a small issue with wait times.",Other
"I would like to commend a inspector at the taluk office for helpful service, but also note a small issue with wait times.",Other
"The tehsildar at the northern zone office hinted that my driving license would be stuck for months unless I gave him Rs. 2,000.",Bribery
"Construction at Ward 5 overseen by the Rural Development Office ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
Records requested under the Right to Information Act from the Revenue Department at Block A were never provided.,Governance Issue
A director at the Municipal Corporation was seen accepting gifts from a contractor in exchange for favorable treatment at Ward 5.,Official Misconduct
A commissioner at the Revenue Department was seen accepting gifts from a contractor in exchange for favorable treatment at the central branch.,Official Misconduct
There is no functioning grievance redress system at the Public Works Department office in the taluk office.,Governance Issue
Drinking water supplied by the Police Department near Ward 5 has tested positive for contamination for months.,Unsafe Public Service
The Land Records Office has failed to publish its annual budget or spending records for the municipal complex as legally required.,Governance Issue
The public bus operated by the Housing Board at the taluk office has faulty brakes and has not been inspected in years.,Unsafe Public Service
"The council member at the Public Works Department demanded Rs. 5,000 in cash before approving my driving license.",Bribery
The council member took Rs. 500 from me and only then stamped my tender document at the Health Department.,Bribery
A administrator in the Housing Board was found altering official records related to a land title without authorization.,Official Misconduct
